Rank;Actual gross;Adjusted gross (in 2022 dollar);Artist;Tour title;Year(s);Shows;Averagegross
1;$320,000,000;$614,562,131;The Rolling Stones;Voodoo Lounge Tour;1994–1995;129;$2,480,620
2;$274,000,000;$491,946,917;The Rolling Stones;Bridges to Babylon Tour;1997–1998;108;$2,537,037
3;$250,000,000;$493,601,257;Pink Floyd;The Division Bell Tour;1994;120;$2,083,333
4;$173,610,864;$312,961,811;U2;PopMart Tour;1997–1998;93;$1,866,783
5;$165,000,000;$300,789,801;Michael Jackson;HIStory World Tour;1996–1997;83;$1,987,952
6;$152,900,000;$285,296,541;Eagles;Hell Freezes Over Tour;1994–1996;122;$1,274,107
7;$151,000,000;$305,895,877;U2;Zoo TV Tour;1992–1993;157;$961,783
8;$133,000,000;$233,640,032;Celine Dion;Let's Talk About Love World Tour;1998–1999;97;$1,371,134
9;$130,000,000;$236,985,904;Tina Turner;Wildest Dreams Tour;1996–1997;255;$509,804
10;$105,000,000;$188,519,804;Garth Brooks;The Garth Brooks World Tour;1996–1998;220;$477,273
